KOD10;NEV
N4190;Gyulladásos prostatabetegség, k.m.n.
N4200;Calculus prostatae
N4210;Prostata duzzadás és vérzés
N4220;Prostata atrophia
N4280;A prostata egyéb meghatározott rendellenességei
N4290;Prostata rendellenesség, k.m.n.
N4300;Cystosus (zárt) hydrocele
N4310;Fertőzött hydrocele
N4320;Egyéb hydrocele
N4330;Hydrocele, k.m.n.
N4340;Spermatocele
N44H0;Herecsavarodás
N4500;Orchitis, epididymitis és epididymo-orchitis tályoggal
N4590;Orchitis, epididymitis és epididymo-orchitis tályog nélkül
N46H0;Férfi meddőség
N4700;Fitymatúltengés
N4710;Fitymatúltengés, phimosis
N4720;Fitymatúltengés, paraphimosis
N4800;Leukoplakia penis
N4810;Balanoposthitis
N4820;A hímvessző egyéb gyulladásos rendellenességei
N4830;Priapismus
N4840;Organikus eredetű impotentia
N4850;A hímvessző fekélye
N4860;Balanitis xerotica obliterans
N4880;A hímvessző egyéb, meghatározott rendellenességei
N4890;Hímvessző rendellenesség, k.m.n.
N4900;Az ondóhólyag gyulladásos rendellenességei
N4910;Funiculus spermat., tunica vag., vas deferens gyull. rendellenességei
N4920;A herezacskó gyulladásos rendellenességei
N4980;A férfi nemi szervek egyéb meghatározott gyulladásos rendellenességei
N4990;Gyulladásos rendellenesség nem meghatározott férfi nemi szerven
N5000;Heresorvadás
N5010;A férfi nemi szervek vascularis rendellenességei
N5080;A férfi nemi szervek egyéb, meghatározott rendellenességei
N5090;A férfi nemi szervek rendellenessége, k.m.n.
N5100;A prostata rendellenességei máshova osztályozott betegségekben
N5110;A here és mellékhere rendellenességei máshova oszt. betegségekben
N5120;Balanitis máshova osztályozott betegségekben
N5180;A férfi nemi szervek egyéb rendellenességei másh. oszt. betegségekben
N6000;Emlő solitaer cystája
N6010;Mastopathia cystica diffusa
N6020;Emlő fibroadenosis
N6030;Emlő fibrosclerosisa
N6040;Emlővezetékek tágulata
N6080;Egyéb jóindulatú emlőelváltozások
N6090;Jóindulatú, emlődysplasia, k.m.n.
N61H0;Emlő gyulladásos rendellenességei
N62H0;Emlő hypertrophia
N63H0;Emlőben lévő meghatározatlan képlet
N6400;Mellbimbó repedése és sipolya
N6410;Az emlő zsírnecrosisa
N6420;Emlősorvadás
N6430;Galactorrhoea (nem szüléssel összefüggő)
N6440;Emlőfájdalom (mastodynia)
N6450;Emlőhöz kapcsolódó egyéb jelek és tünetek
N6480;Az emlő egyéb meghatározott rendellenességei
N6490;Emlő rendellenesség, k.m.n.
N7000;A méhkürt és petefészek heveny gyulladása
N7010;A méhkürt és petefészek idült gyulladása
N7090;Méhkürt és petefészek gyulladás, k.m.n.
N7100;A méh heveny gyulladásos betegsége
N7110;A méh idült gyulladásos betegsége
N7190;A méh gyulladásos betegsége, k.m.n.
N72H0;A méhnyak gyulladásos betegsége
N7300;Akut parametritis és medencei cellulitis
N7310;Krónikus parametritis és medencei cellulitis
N7320;Parametritis és medencei cellulitis, k.m.n.
N7330;Akut pelveoperitonitis (női)
N7340;Krónikus pelveoperitonitis, k.m.n.
N7350;Női pelveoperitonitis, k.m.n.
N7360;Női medencei peritonealis összenövések
N7380;A női medence egyéb, meghatározott gyulladásos betegségei
N7390;A női medence gyulladásos betegsége, k.m.n.
N7400;A méhnyak gümőkóros fertőzése (A18.1+)
N7410;A női kismedence gümőkóros gyulladásos betegsége (A18.1+)
N7420;A női kismedence syphilises gyulladásos betegsége (A51.4+, A52.7+)
N7430;A női kismedence gonococcusos gyulladásos betegsége (A54.2+)
N7440;A női kismedence chlamydia fertőzés okozta gyull. betegsége (A56.1+)
N7480;A női kismedence gyulladásos betegségei egyéb másh. o. betegségekben
N7500;A Bartholin-mirigy cystája
N7510;A Bartholin-mirigy tályog
N7580;A Bartholin-mirigy egyéb betegségei
N7590;A Bartholin-mirigy betegsége, k.m.n.
N7600;A hüvely heveny gyulladása
N7610;A hüvely szubakut és idült gyulladása
N7620;A szeméremtest heveny gyulladása
N7630;A szeméremtest szubakut és idült gyulladása
N7640;Szeméremtest tályog
N7650;A hüvely kifekélyesedése
N7660;A szeméremtest kifekélyesedése
N7680;A hüvely és szeméremtest egyéb, meghatározott gyulladása
N7700;Szeméremtest fekélyesedés másh. o. fertőző és parazitás betegségekben
N7710;Hüvely és szeméremtest gyull. másh.o. fert. és parazitás betegségekben
N7780;Hüvely és szeméremtest fekélyesedés és gyull. egyéb másh.o. bet.gekben
N8000;A méh endometriosisa
N8010;A petefészek endometriosisa
N8020;A petevezető endometriosisa
N8030;A medencei hashártya endometriosisa
N8040;A rectovaginalis septum és a hüvely endometiosisa
N8050;Bél endometriosis
N8060;Endometriosis bőrhegben
N8080;Egyéb endometriosis
N8090;Endometriosis, k.m.n.
N8100;Urethrocele, női
N8110;Cystocele
N8120;A méh és hüvely inkomplett prolapsusa
N8130;Teljes uterovaginalis prolapsus
N8140;Uterovaginalis prolapsus, k.m.n.
N8150;Enterocele vaginale (szerzett vagy veleszületett)
N8160;Rectocele
N8180;Egyéb női nemi szerv prolapsus
N8190;Női nemi szerv prolapsus, k.m.n.
N8200;Vesicovaginalis sipoly
N8210;Egyéb női húgy- és nemi szervek közötti sipoly
N8220;Sipoly a hüvely és vékonybél között
N8230;Sipoly a hüvely és vastagbél között
N8240;Egyéb sipolyok a női nemi szervek és a belek között
N8250;Sipolyok a női nemi szervek és a bőr között
N8280;A női nemi szervek egyéb sipolyai
N8290;A női nemi szervek sipolya, k.m.n.
N8300;A petefészek follicularis cystája
N8310;Sárgatest cysta
N8320;Egyéb és k.m.n. petefészek cysták
N8330;A petefészek és a méhkürt szerzett sorvadása
N8340;A petefészek és a méhkürt előesése és sérve
N8350;A petefészek és méhkürt csavarodása
N8360;Haematosalpinx
N8370;A széles méhszalag vérömlenye
N8380;Petefészek, méhkürt, széles szalag egyéb, nem-gyull. rendellenességei
N8390;Petefészek, méhkürt, széles szalag nem-gyull. rendellenessége, k.m.n.
N8400;Méhtest polypus
N8410;Méhnyak polypus
N8420;Hüvely polypus
N8430;Szeméremtest polypus
N8480;A női nemi szervek egyéb részeinek polypusa
N8490;A női nemi szervek polypusa, k.m.n.
N8500;Hyperplasia glandularis endometrii
N8510;Hyperplasia andenomatosa endometrii
N8520;Méh-hypertrophia
N8530;Subinvolutio uteri
N8540;A méh rendellenes helyzete
N8550;Méh inversio
N8560;Méhűri összenövések
N8570;Haematometra
N8580;A méh, egyéb, meghatározott nem-gyulladásos rendellenességei
N8590;Nem-gyulladásos méhrendellenesség, k.m.n.
N86H0;A méhnyak erosiója és ectropionja
N8700;Enyhe cervicalis dysplasia
N8710;Középsúlyos cervicalis dysplasia
N8720;Súlyos cervicalis dysplasia
N8790;Cervicalis dysplasia, k.m.n.
N8800;Leukoplakia cervicis uteri
N8810;Laceratio portionis uteri inveterata
N8820;A méhnyak szűkülete és hegesedése
N8830;Méhnyak-elégtelenség
N8840;A méhnyak hypertrophiás elongatiója
N8880;A méhnyak egyéb, meghatározott nem-gyulladásos rendellenességei
N8890;A méhnyak nem-gyulladásos rendellenessége, k.m.n.
N8900;Dysplasia vaginae, enyhe fokú
N8910;Dysplasia vaginae, közepes fokú
N8920;Dysplasia vaginae, súlyos
N8930;Dysplasia vaginae, k.m.n.
N8940;Leukoplakia vaginae
N8950;A hüvely szűkülete és atresiája
N8960;Szűk hymenalis gyűrű
N8970;Haematocolpos
N8980;A hüvely, egyéb, meghatározott nem-gyulladásos rendellenességei
N8990;A hüvely nem-gyulladásos rendellenessége, k.m.n.
N9000;A szeméremtest enyhefokú dysplasiája
N9010;A szeméremtest súlyos dysplasiája
N9020;A szeméremtest súlyos dysplasiája, m.n.o.
N9030;Szeméremtest dysplasia, k.m.n.
N9040;Leukoplakia vulvae
N9050;A szeméremtest sorvadása
N9060;A szeméremtest hypertrophiája
N9070;Szeméremtest cysta
N9080;Szeméremtest és gát egyéb meghat. nem-gyulladásos rendellenességei
N9090;A szeméremtest és gát nem-gyulladásos rendellenességei, k.m.n.
N9100;Primer amenorrhoea
N9110;Szekunder amenorrhoea
N9120;Amenorrhoea, k.m.n.
N9130;Primer oligomenorrhoea
N9140;Szekunder oligomenorrhoea
N9150;Oligomenorrhoea, k.m.n.
N9200;Excesszív és gyakori havivérzés szabályos ciklussal
N9210;Excesszív és gyakori havivérzés szabálytalan ciklussal
N9220;Excesszív havivérzés serdülőkorban
N9230;Ovulatiós vérzés
N9240;Excesszív vérzés a praemenopausalis szakban
N9250;Egyéb meghatározott szabálytalan havivérzés
N9260;Szabálytalan havivérzés, k.m.n.
N9300;Postcoitalis és kontakt vérzés
N9380;Egyéb meghatározott rendellenes méh- és hüvelyvérzés
N9390;Rendellenes méh- és hüvelyvérzés, k.m.n.
N9400;"Középidős fájdalom (""Mittelschmerz"")"
N9410;Dyspareunia
N9420;Vaginismus
N9430;Premenstrualis tensiós syndroma
N9440;Primer dysmenorrhoea
N9450;Szekunder dysmenorrhoea
N9460;Dysmenorrhoea, k.m.n.
N9480;Női nemi szervekkel és havivérzéssel kapcs. egyéb meghat. állapotok
N9490;Női nemi szervekkel és havivérzéssel kapcs. egyéb, k.m.n. állapotok
N9500;Postmenopausalis vérzés
N9510;Menopausalis és női climacterialis állapotok
N9520;Postmenopausalis atrophiás vaginitis
N9530;Művi menopausához társuló állapotok
N9580;Egyéb meghatározott menopausalis és perimenopausalis rendellenességek
N9590;Menopausalis és perimenopausalis rendellenesség, k.m.n.
N96H0;Habitualis vetélés
N9700;Anovulatióval kapcsolatos infertilitás
N9710;Méhkürt eredetű infertilitás
N9720;Méheredetű női infertilitás
N9730;Méhnyakeredetű infertilitás
N9740;A férfipartner tényezőivel társult női infertilitás
N9780;Egyéb eredetű női infertilitás
N9790;Női infertilitás, k.m.n.
N9800;Mesterséges inseminatióval kapcsolatos fertőzés
N9810;A petefészkek hyperstimultiója
N9820;Mesterséges megtermékenyítés kísérletéhez kapcsolódó szövődmények
N9830;Embrióbeültetés kísérlete kapcsán adódó szövődmények
N9880;Mesterséges megtermékenyítéshez társuló egyéb, szövődmények
N9890;Mesterséges megtermékenyítéshez társuló szövődmény, k.m.n.
N9900;Beavatkozást követő veseelégtelenség
N9910;Beavatkozást követő húgycsőszűkület
N9920;Postoperativ hüvelyi összenövések
N9930;A hüvelyboltozat előesése méheltávolítás után
N9940;Kismedencei hashártya összenövések beavatkozást követően
N9950;A húgyutak külső stomájának működési zavara
N9980;Az urogenitalis rendszer egyéb beavatkozást követő rendellenességei
N9990;Az urogenitalis rendszer beavatkozást követő rendellenessége, k.m.n.
O0000;Hasűri terhesség
O0010;Kürtterhesség (tubaris abortus)
O0020;Petefészek terhesség
O0080;Egyéb méhen kívüli terhesség
O0090;Méhen kívüli terhesség, k.m.n.
O0100;Klasszikus mola hydatidosa
O0110;Inkomplett és részleges mola hydatidosa
O0190;Mola hydatidosa, k.m.n.
O0200;Üres petezsák (blighted ovum) és nem-hydatidiform mola
O0210;Missed abortion
O0280;A fogamzás egyéb meghatározott rendellenes termékei
O0290;A fogamzás egyéb rendellenes termékei, k.m.n.
O0300;Inkomplett spontán vetélés ivarszervi és medencei fertőzéssel
O0310;Inkomplett spontán vetélés elhúzódó vagy bő vérzéssel
O0320;Inkomplett spontán vetélés emboliával
O0330;Inkomplett spontán vetélés egyéb és k.m.n. szövődményekkel
O0340;Inkomplett spontán vetélés szövődmény nélkül
O0350;Komplett vagy k.m.n. spontán vetélés ivarszervi-medencei fertőzéssel
O0360;Komplett vagy k.m.n. spontán vetélés elhúzódó vagy igen bő vérzéssel
O0370;Komplett vagy k.m.n. spontán vetélés emboliával
O0380;Komplett vagy k.m.n. spontán vetélés egyéb és k.m.n. szövődményekkel
O0390;Komplett vagy k.m.n. spontán vetélés szövődmény nélkül
O0400;Inkomplett művi vetélés ivarszervi és medencei fertőzéssel
O0410;Inkomplett művi vetélés elhúzódó vagy bő vérzéssel
O0420;Inkomplett művi vetélés emboliával
O0430;Inkomplett művi vetélés egyéb és k.m.n. szövődményekkel
O0440;Inkomplett művi vetélés szövődmény nélkül
O0450;Komplett vagy k.m.n. művi vetélés ivarszervi és medencei fertőzéssel
O0460;Komplett vagy k.m.n. művi vetélés elhúzódó vagy igen bő vérzéssel
O0470;Komplett vagy k.m.n. művi vetélés emboliával
O0480;Komplett vagy k.m.n. művi vetélés egyéb és k.m.n. szövődményekkel
O0490;Komplett vagy k.m.n. művi vetélés szövődmény nélkül
O0500;Inkomplett vetélés egyéb okból, ivarszervi és medencei fertőzéssel
O0510;Inkomplett vetélés egyéb okból, elhúzódó vagy bő vérzéssel
O0520;Inkomplett vetélés egyéb okból, emboliával
O0530;Inkomplett vetélés egyéb okból, egyéb és k.m.n. szövődményekkel
O0540;Inkomplett vetélés egyéb okból, szövődmény nélkül
O0550;Komplett vetélés egyéb okból, ivarszervi és medencei fertőzéssel
O0560;Komplett vetélés egyéb okból, elhúzódó vagy igen bő vérzéssel
O0570;Komplett vetélés egyéb okból, emboliával
O0580;Komplett vetélés egyéb okból, egyéb és k.m.n. szövődményekkel
O0590;Komplett vetélés egyéb okból, szövődmény nélkül
O0600;K.m.n. inkomplett vetélés ivarszervi és medencei fertőzéssel
O0610;K.m.n. inkomplett vetélés elhúzódó vagy bő vérzéssel
O0620;K.m.n. inkomplett vetélés emboliával
O0630;K.m.n. inkomplett vetélés egyéb és k.m.n. szövődményekkel
O0640;K.m.n. inkomplett vetélés szövődmény nélkül
O0650;K.m.n. komplett vetélés ivarszervi és medencei fertőzéssel
O0660;K.m.n. komplett vetélés elhúzódó vagy igen bő vérzéssel
O0670;K.m.n. komplett vetélés emboliával
O0680;K.m.n. komplett vetélés egyéb és k.m.n. szövődményekkel
O0690;K.m.n. komplett vetélés szövődmény nélkül
O0700;Sikertelen terhességmegszakítás kismedencei és genitalis fertőzéssel
O0710;Sikertelen terhességmegszakítás elhúzódó vagy erős vérzéssel
O0720;Sikertelen terhességmegszakítás emboliával
O0730;Sikertelen terhességmegszakítás egyéb és k.m.n. szövődményekkel
O0740;Sikertelen terhességmegszakítás szövődmény nélkül
O0750;Sikertelenül megkísérelt egyéb és k.m.n. vetélés genitalis fertőzéssel
O0760;Sikertelenül megkísérelt egyéb és k.m.n. vetélés elhúzódó vérzéssel
O0770;Sikertelenül megkísérelt egyéb és k.m.n. vetélés emboliával
O0780;Sikertelenül megkísérelt k.m.n. vetélés egyéb k.m.n. szövődményekkel
O0790;Sikertelen egyéb és k.m.n. vetélés szövődmény nélkül
O0800;Vetélés, méhen kívüli és üszögterhesség utáni genitalis fertőzés
O0810;Vetélés, méhen kívüli és üszögterhesség utáni elhúzódó vérzés
O0820;Vetélést, méhen kívüli és üszögterhességet követő embolia
O0830;Vetélést, méhen kívüli és üszögterhességet követő shock
O0840;Vetélést, méhen kívüli és üszögterhességet követő veseelégtelenség
O0850;Vetélést, méhen kívüli és üszögterhességet követő anyagcserezavarok
O0860;Kismed. szervek károsodása vetélés, méhenkívüli, üszögterhesség után
O0870;Vetélést, méhen kívüli és üszögterhességet követő vénás szövődmények
O0880;Vetélést, méhen kívüli és üszögterhességgel követő egyéb szövődmények
O0890;Vetélést, méhen kívüli és üszögterhességet követő szövődmény, k.m.n.
O1000;Terhességet, szülést, gyermekágyat komplikáló elôzetes hypertonia
O1010;Terh.gel, szüléssel, gyermekággyal szövődött hypertensiv szívbetegség
O1011;Terh. hypertonia miatt kialak. hypertensiv szívbetegs. terhesség alatt
O1012;Terh. hypertensiv szívbetegségben szenvedő nő a szülés időszakában
O1013;Terh. hypertensiv szívbetegség a gyermekágy időszakában
O1020;Terh.gel, szüléssel, gyermekággyal szövődött hypertensiv vesebetegség
O1021;Terh. hypertonia m. kialak. hypertensiv vesebeteg. a terhesség alatt
O1022;Terh. hypertensiv vesebetegségben szenvedő nő a szülés időszakában
O1023;Terh. hypertensiv vesebetegség a gyermekágy időszakában
O1030;Terh.gel, szüléssel, gyermekággyal szöv. hypertensiv vese- és szívbet.
O1031;Terh. hypertonia m. kialak. hypertensiv vese-és szívbeteg. terh. alatt
O1032;Terh. hypertensiv vese -és szívbetegségben szenvedő nő a szülés idősza
O1033;Terh. hypertensiv vese -és szívbetegség a gyermekágy időszakában
O1040;Terh.gel, szüléssel, gyermekággyal szövődött másodlagos magasvérnyomás
O1090;Terh.gel, szüléssel, gyermekággyal szövődött k.m.n. magasvérnyomás
O11H0;Terhesség előtt ismert magasvérnyomás, rárakódott fehérjevizeléssel
O1200;Terhességi vizenyő
O1210;Terhességi fehérjevizelés
O1220;Terhességi vizenyő fehérjevizeléssel
O13H0;Terhességi magasvérnyomás szignifikáns fehérjevizelés nélkül
O1400;Középsúlyos praeeclampsia
O1410;Súlyos praeeclampsia
O1490;Praeeclampsia, k.m.n.
O1500;Eclampsia a terhesség alatt
O1510;Eclampsia a vajúdás alatt
O1520;Eclampsia a gyermekágyban
O1590;Eclampsia nem meghatározott időszakban
O16H0;Anyai magasvérnyomás, k.m.n.
O2000;Fenyegető vetélés
O2080;Egyéb vérzés a terhesség első három hónapjában
O2090;Vérzés a terhesség első három hónapjában, k.m.n.
O2100;Hyperemesis gravidarum
O2110;Hyperemesis gravidarum anyagcserezavarral
O2120;Hányás a terhesség második felében
O2180;Egyéb a terhességet komplikáló hányás
O2190;Terhességi hányás, k.m.n.
O2200;Visszértágulat az alsó végtagon a terhesség alatt
O2210;A genitalis vénatágulatok terhesség alatt
O2220;Felületes visszérgyulladás a terhesség alatt
O2230;Mélyvénás thrombosis a terhesség alatt
O2240;Aranyér a terhesség alatt
O2250;Agyi (sinus) thrombosis a terhesség alatt
O2280;Egyéb, vénás szövődmények a terhesség alatt
O2290;Vénás szövődmény terhesség alatt, k.m.n.
O2300;A vese fertőzései terhességben
O2310;A húgyhólyag fertőzései terhességben
O2320;A húgycső fertőzései a terhességben
O2330;A húgyutak egyéb részeinek fertőzései a terhességben
O2340;A húgyutak k.m.n. fertőzése terhességben
O2350;A nemi szervek fertőzései terhességben
O2390;Egyéb és k.m.n. urogenitalis fertőzés terhességben
O2400;Terhesség előtt fennálló, inzulin függő cukorbetegség (IDDM)
O2410;Terhesség előtt fennálló nem inzulin függő (NIDDM) cukorbetegség
O2420;Terhesség előtti, hiányos táplálkozással összefüggő cukorbetegség
O2430;Terhesség előtt fennálló, k.m.n. típusú cukorbetegség
O2440;Terhesség alatt jelentkező cukorbetegség (gestatiós diabetes) (GDM)
O2490;Terhességgel szövődött cukorbetegség, k.m.n.
O25H0;Hiányos táplálkozás terhességben
O2600;Veszélyeztetett terhesség túlzott súlygyarapodás miatt
O2610;Csekély súlygyarapodás terhességben
O2620;Veszélyeztetett terhesség szokványos vetélés miatt
O2630;Vesz. terhesség méhen belüli fogamzásgátlóval hordott terhesség miatt
O2640;Herpes gestationis
O2650;Anyai hypotensiós syndroma
O2660;Májbetegségek a terhesség alatt, szüléskor és a gyermekágyban
O2670;Symphyseolysis a terhesség alatt, szüléskor és a gyermekágyban
O2680;Veszélyeztetett terhesség egyéb, ismert okok miatt
O2690;Veszélyeztetett terhesség, k.m.n.
O2800;Antenatalis szűrés során felfedezett haematologiai rendellenesség
O2810;Antenatalis szűrés során felfedezett biokémiai rendellenesség
O2820;Antenatalis szűrés során felfedezett cytologiai rendellenesség
O2830;Antenatalis szűrés során ultrahang-lelet rendellenesség
O2840;Antenatalis szűrés során radiologiai rendellenesség
O2850;Antenatalis szűrés során felfedezett chromosoma és genetikai rendell.
O2880;Antenatalis szűrés során felfedezett egyéb rendellenességek
O2890;Antenatalis szűrés során felismert rendellenesség, k.m.n.
O2900;Anaesthesiologiai eredetű tüdőszövődmények a terhesség alatt
O2910;Anaesthesiologiai eredetű cardialis szövődmények a terhesség alatt
O2920;Anaesthes. eredetű közp. idegrendszeri szövődmények a terhesség alatt
O2930;Helyi érzéstelenítéssel összefüggő toxikus reakció a terhesség alatt
O2940;Spinalis és epiduralis érzéstel. miatti fejfájás a terhesség alatt
O2950;Spinalis és epiduralis érzéstel. egyéb szövődményei a terhesség alatt
O2960;Sikertelen vagy nehéz intubatio a terhesség alatt
O2980;Anaesthesiologiai eredetű egyéb szövődmények a terhesség alatt
O2990;Anaesthesiologiai eredetű szövődmény a terhesség alatt, k.m.n.
O3000;Ikerterhesség
O3010;Hármas ikerterhesség
O3020;Négyes ikerterhesség
O3080;Többes terhesség egyéb
O3090;Többes terhesség, k.m.n.
O3100;Foetus papyraceus
O3110;Továbbviselt többes terhesség valamely magzat korai vetélése után
O3120;Továbbviselt többes terhesség magzat intrauterin elhalása után
O3180;Többes terhesség egyéb szövődményei
O3200;Veszélyeztetett terhesség változó fekvés miatt
O3210;Veszélyeztetett terhesség medencevégű fekvés miatt
O3220;Veszélyeztetett terhesség harántfekvés vagy ferdefekvés miatt
O3230;Veszélyeztetett terhesség homlok- vagy arctartás miatt
O3240;Veszélyezt. terhesség terminusban bemenet felett mozgó koponya miatt
O3250;Veszélyezt. ikerterhesség fekvési és tartási rendellenességek miatt
O3260;Veszélyeztetett terhesség vegyes fekvés (többes terhességben) miatt
O3280;Veszélyezt. terhesség egyéb fekvési, tartási rendellenesség miatt
O3290;Veszélyezt. terhesség k.m.n. fekvési és tartási rendellenesség miatt
O3300;Vesz. terhesség téraránytalanságot okozó medence deformitás miatt
O3310;Vesz. terhesség téraránytalanságot okozó egyaránt szűk medence miatt
O3320;Vesz. terhesség téraránytalanságot okozó bemenetben szűk medence miatt
O3330;Vesz. terhesség téraránytalanságot okozó kimenetben szűk medence miatt
O3340;Veszélyeztetett terhesség anyai és magzati téraránytalanság miatt
O3350;Veszélyeztetett terhesség téraránytalanságot okozó nagy magzat miatt
O3360;Veszélyeztetett terhesség téraránytalanságot okozó hydrocephalus miatt
O3370;Vesz.terhesség téraránytalanságot okozó egyéb magzati deformitás miatt
O3380;Veszélyeztetett terhesség téraránytalanságot okozó egyéb okból
O3390;Veszélyeztetett terhesség téraránytalanság miatt, k.m.n.
O3400;Vesz. terhesség a méh veleszületett fejlődési rendellenessége miatt
O3410;Veszélyeztetett terhesség a méhtest daganata miatt
O3420;Veszélyeztetett terhesség a méhen végzett előzetes műtét miatt
O3430;Veszélyeztetett terhesség méhnyak-elégtelenség miatt
O3440;Veszélyeztetett terhesség a cervix egyéb rendellenességei miatt
O3450;Veszélyeztetett terhesség a terhes méh egyéb rendellenességei miatt
O3460;Veszélyeztetett terhesség a hüvely rendellenességei miatt
O3470;Veszélyeztetett terhesség a vulva és a gát rendellenességei miatt
O3480;Vesz. terhesség a kismedencei szervek egyéb rendellenességei miatt
O3490;Vesz. terhesség a kismedencei szervek k.m.n. rendellenességei miatt
O3500;Vesz. terhesség a magzati közp.idegrendszer fejlődési rendell. miatt
O3510;Vesz. terhesség a magzat (gyanitott) chromosoma rendellenessége miatt
O3520;Vesz. terhesség a magzat (gyanított) örökletes betegsége miatt
O3530;Veszélyeztetett terhesség a magzat (gyanított) vírusbetegsége miatt
O3540;Vesz. terhesség alkohol okozta (gyanított) magzati károsodás miatt
O3550;Vesz. terhesség kábítószer okozta (gyanított) magzati károsodás miatt
O3560;Vesz. terhesség a magzat ionizáló sugárzás okozta károsodása miatt
O3570;Vesz. terhesség a magzat orvosi beavatk. okozta károsodása miatt
O3580;Vesz. terhesség a magzat (gyanított) egyéb károsodása miatt
O3590;Vesz. terhesség a magzat k.m.n. rendellenessége vagy károsodása miatt
O3600;Veszélyeztetett terhesség Rh isoimmunisatio miatt
O3610;Veszélyeztetett terhesség egyéb vércsoport összeférhetetlenség miatt
O3620;Veszélyeztetett terhesség magzati hydrops miatt
O3630;Veszélyeztetett terhesség magzati hypoxia jelei miatt
O3640;Veszélyeztetett terhesség intrauterin elhalás miatt
O3650;Veszélyeztetett terhesség a magzat növekedési elmaradása miatt
O3660;Veszélyeztetett terhesség excesszív nagy magzati növekedés miatt
O3670;Veszélyeztetett terhesség kihordott hasűri terhesség miatt
O3680;Veszélyeztetett terhesség egyéb magzati szövődmény miatt
O3690;Veszélyeztetett terhesség egyéb, k.m.n. magzati eltérés miatt
O40H0;Hydramnion (polyhydramnion)
O4100;Oligohydramnion
O4110;Az amnionűr és a burkok fertőzése
O4180;Egyéb a magzatvízzel és a burkokkal összefüggő ismert rendellenességek
O4190;Egyéb a magzatvízzel és burkokkal összefüggő rendellenesség, k.m.n.
O4200;Időelőtti burokrepedés a szülés megindulása előtt 24 órán belül
O4210;Időelőtti burokrepedés több mint 24 órával a szülés megindulása előtt
O4220;Időelőtti burokrepedés, konzervatív kezeléssel
O4290;Időelőtti burokrepedés, k.m.n.
O4300;Placentalis transfusio syndromák
O4310;A lepény fejlődési rendellenessége
O4380;Egyéb lepényi rendellenességek
O4390;Lepényi rendellenesség, k.m.n.
O4400;Elöl fekvő lepény, vérzés nélkül
O4410;Elöl fekvő lepény vérzéssel
O4500;Korai lepényleválás véralvadási zavarral
O4580;Egyéb korai lepényleválás
O4590;Korai lepényleválás, k.m.n.
O4600;Vérzés a szülés megindulása előtt, alvadászavarral
O4680;Egyéb vérzés a szülés megindulás előtt
O4690;Vérzés a szülés megindulása előtt, k.m.n.
O4700;Jóslófájások a befejezett 37. hét előtt
O4710;Jóslófájások a 37. terhességi héten vagy azután
O4790;Jóslófájás, k.m.n.
O48H0;Túlhordás
O60H0;Koraszülés
O6100;Sikertelen gyógyszeres szülésindítás
O6110;Sikertelen eszközös szülésindítás
O6180;Egyéb sikertelen szülésindítás
O6190;Sikertelen szülésindítás, k.m.n.
O6200;Elsődleges fájásgyengeség
O6210;Másodlagos fájásgyengeség
O6220;Egyéb méhrenyheség
O6230;Rohamos szülés
O6240;Hypertoniás fájásgyengeség
O6280;A szülőfájások egyéb rendellenességei
O6290;A szülőfájások rendellenességei, k.m.n.
O6300;Elhúzódó tágulási szak
O6310;Elhúzódó kitolási szak
O6320;A második, harmadik stb. magzat elhúzódó szülése többes szülés során
O6390;Elhúzódó szülés, k.m.n.
O6400;Elakadt szülés a magzati fej inkomplett rotatiója miatt
O6410;Elakadt szülés medencevégű fekvés miatt
O6420;Elakadt szülés arctartás miatt
O6430;Elakadt szülés homloktartás miatt
O6440;Elakadt szülés válltartás miatt
O6450;Elakadt szülés az elöl fekvő rész mellett észlelt végtag miatt
O6480;Elakadt szülés egyéb tartási és fekvési rendellenesség miatt
O6490;Elakadt szülés tartási és fekvési rendellenesség miatt, k.m.n.
O6500;Elakadt szülés deformált medence miatt
O6510;Elakadt szülés általában szűk medence miatt
O6520;Elakadt szülés bemenetben szűk medence miatt
O6530;Elakadt szülés az üregben és a kimenetben szűk medence miatt
O6540;Elakadt szülés a magzat és a medence téraránytalansága miatt, k.m.n.
O6550;Elakadt szülés az anyai medence szerveinek rendellenessége miatt
O6580;Elakadt szülés az anyai medence egyéb rendellenességei miatt
O6590;Elakadt szülés az anyai medence rendellenessége miatt, k.m.n.
O6600;Elakadt szülés váll dystocia miatt
O6610;Elakadt szülés az ikrek összeakadása miatt
O6620;Elakadt szülés szokatlanul nagy magzat miatt
O6630;Elakadt szülés egyéb magzati rendellenességek miatt
O6640;Sikertelen szülés, k.m.n.
O6650;Sikertelenül alkalmazott vacuum extractio és fogóműtét, k.m.n.
O6680;Egyéb meghatározott okból elakadt szülés
O6690;Elakadt szülés, k.m.n.
O6700;Szülés alatti vérzés alvadási zavarral
O6780;Egyéb szülés alatti vérzés
O6790;Szülés alatti vérzés, k.m.n.
O6800;Vajúdás és szülés magzati szívfrekvencia anomáliával szövődve
O6810;Vajúdás és szülés meconium tartalmú magzatvízzel szövődve
O6820;Vajúdás-szülés magz. szívfrekv. anomáliával és meconiumos magzatvízzel
O6830;Vajúdás és szülés a magzati stress biokémiai jeleivel szövődve
O6880;Vajúdás és szülés a magzati stress egyéb jeleivel szövődve
O6890;Vajúdás és szülés a magzati stresszel szövődve, k.m.n.
